/opt/cloudera/parcels/CDH-5.13.1-1.cdh5.13.1.p0.2/lib/impala-shell/ext-py/sasl-0.1.1-py2.7-linux-x86_64.egg/_saslwrapper.py:3: UserWarning: Module backports was already imported from None, but /usr/lib/python2.7/site-packages is being added to sys.path
Starting Impala Shell without Kerberos authentication
Error connecting: TTransportException, TSocket read 0 bytes
Kerberos ticket found in the credentials cache, retrying the connection with a secure transport.
Connected to ip-172-31-30-69.ap-southeast-1.compute.internal:21000
Server version: impalad version 2.10.0-cdh5.13.1 RELEASE (build 1e4b23c4eb52dac95c5be6316f49685c41783c51)
Query: use `tpcds_parquet_2`
Query: select i_item_desc 
      ,i_category 
      ,i_class 
      ,i_current_price
      ,sum(ws_ext_sales_price) as itemrevenue 
      ,sum(ws_ext_sales_price)*100/sum(sum(ws_ext_sales_price)) over
          (partition by i_class) as revenueratio
from	
	web_sales
    	,item 
    	,date_dim
where 
	ws_item_sk = i_item_sk 
  	and i_category in ('Women', 'Children', 'Books')
  	and ws_sold_date_sk = d_date_sk
  	and ws_sold_date_sk between 2451959 and 2451989
	and d_date between cast('2001-02-18' as timestamp) 
				and (cast('2001-02-18' as timestamp) + interval 30 days)
group by 
	i_item_id
        ,i_item_desc 
        ,i_category
        ,i_class
        ,i_current_price
order by 
	i_category
        ,i_class
        ,i_item_id
        ,i_item_desc
        ,revenueratio
limit 100
Query submitted at: 2018-04-19 06:45:32 (Coordinator: http://ip-172-31-30-69.ap-southeast-1.compute.internal:25000)
Query progress can be monitored at: http://ip-172-31-30-69.ap-southeast-1.compute.internal:25000/query_plan?query_id=2e4cce11290bf72e:7582be1a00000000
	Books		82.97	22365.56	60.55677261738148
Men wait away easy, head years. Only, capitalist artis	Books	business	9.859999999999999	6600.42	4.53479470847866
Women ignore. Sure, new collections must not look there entire seats. New, regional others sleep too large children. New points issue in a men; times might go local, german males. Inc, short se	Books	business	7.95	3789.6	2.603630985187417
Single hours ought to say. Sources would contribute civil rivers. Good, central patients put too to the spirits. Sho	Books	business	3.27	3043.88	2.091286754061715
Sen	Books	business	9.83	107.61	0.0739330616202285
Swiftly dominant criticisms shall not get healthy shoulders. Connections cannot get in order great days. About	Books	business	3.16	7779.4	5.344808656894393
Especially firm buses listen major, individual calls. New daughters help internal, general eggs. Here l	Books	business	2.81	1279.89	0.8793437992483438
Annual, pure thoughts cannot understand poor developers. Following things shall advise. Costs may turn thereby social, small years. New unions provide young colours. Important, loca	Books	business	8.92	4533.3	3.114587382612972
Of course large structures describe. Used factors would know commercial benefits. Then appropriate circumstances should not know so new terms; ev	Books	business	0.63	17730.8	12.18188206464035
Of course cultural circumstances provide most local activities. Democratic 	Books	business	1.65	3002.22	2.06266440161214
Hands may not allow only in a lands; linear, other pubs say; social, precise women identify for a patients. Preferences develop alone now rich motives. Ever good tas	Books	business	3.68	1416.45	0.9731668537493975
Modern records retain about there civil plans. Social bodies survive. Great, living losses bother late, coherent others. About british sports ought to use cautiously from 	Books	business	1.94	233.07	0.1601299012343338
Soon automatic daughters would not keep elegant, civil cards. Practical goals may come pr	Books	business	61.74	8941.02	6.142895480045492
American, other circumstances tackle also with the facts. Passive	Books	business	0.71	5961.05	4.09551786052656
Narrow, famous years shall address se	Books	business	3.43	4195.8	2.882709227266562
New teachers might demand never assets. Deeply bright ministers make generally never prime imports. Odd writings step common readers; talks take young, r	Books	business	2.95	1446.9	0.9940874162095402
Problems 	Books	business	5.8	1025.64	0.7046622555540486
Slow sets should support over examples. Possible fears will penetrate; earnings like however welsh discipline	Books	business	98.40000000000001	5220.58	3.586780622928469
Facts can highlig	Books	business	1.18	1109.68	0.76240163385127
Lively, regular decisions ought to think separately clear networks; english, little levels ought to keep years. Students make then until the organisers. Significant, st	Books	business	2.42	4100.48	2.817219965732874
Only convenient parents could organise there other, inevitable weeks. Great, great resources would see more as usual massive buildings. Proteins respond mor	Books	business	2.98	10508.1	7.219552130949941
No longer national paren	Books	business	84.29000000000001	6878.76	4.726027199616793
Local, unlikely bits sign completely. Areas feel only manufacturing legs. Amounts must go personal, very things; areas could take clo	Books	business	5.2	7238.24	4.973006634532132
Alone countries must use so old, international functions. Only public cases see in a words. Normal methods forget even communist changes; technical numbers convert either natu	Books	business	4.67	2481.6	1.704974312022666
Certainly remaining flowers can wonder then just significant papers; places secure below as a bombs. Other, domestic members must allow very polite thi	Books	business	0.6	369	0.2535201165120743
Shows used to guarantee other, central rates. Large, large meetings calcula	Books	computers	1.04	27.9	0.01171608179622399
Bad, basic students consider even; institutions shall show 	Books	computers	1.01	9199.18	3.863023130400998
Diseases ought to move at first so total months. Circumstances may argue students. Reasonable organizations get also. Enormous, personal issues must exp	Books	computers	2.58	1469.76	0.6171981498501139
Companies must not use thus. Heavy, poor buildings shall not persuade however important parties. Various drawings might not make; deputies would not	Books	computers	2.71	2908.2	1.22124405303866
Subjects may remain officials. Forward, straight objects used to see wh	Books	computers	6.97	3041.4	1.277178895162568
External improvements effect so tough words. Great roads cause quickly popular, black stories. Clearly white members might ask enough details. Min	Books	computers	31.74	827.88	0.3476526809124703
Services shall live by no means classic subject	Books	computers	4.61	22.14	0.009297277812487428
Fetched 100 row(s) in 1.48s
