Music	importoscholar #2	2000	9971.620000000001	5124.6	6238.39	13085.34
Women	importoamalg #2	2000	9972.558333333334	5137.5	5694.610000000001	5005.23
Children	importoexporti #2	2000	10059.95833333333	5225.339999999999	6165.02	6039.4
Shoes	exportiedu pack #2	2000	9646.130833333335	4827.710000000001	5820.289999999999	5928.650000000001
Music	importoscholar #2	2000	9644.023333333336	4834.7	6190.589999999999	6030.6
Children	importoexporti #2	2000	9795.273333333333	5003	5866.88	12718.08999999999
Shoes	importoedu pack #2	2000	9736.658333333335	4979.71	5219.989999999999	5666.130000000001
Women	importoamalg #2	2000	9972.558333333334	5222.930000000001	5895.980000000001	5694.610000000001
Shoes	edu packedu pack #2	2000	8905.652500000002	4169.75	5449.82	5920.24
Men	importoimporto #2	2000	9182.286666666667	4454.260000000001	6285.86	5942.419999999999
Shoes	amalgedu pack #2	2000	9111.753333333334	4408.539999999999	5669.469999999999	5864.170000000002
Children	importoexporti #2	2000	9652.044166666667	4959.15	5530.6	5940.889999999999
Music	edu packscholar #2	2000	9884.584999999997	5197.629999999999	4309.620000000001	5395.14
Music	edu packscholar #2	2000	9884.584999999997	5208.700000000001	5395.14	6200.719999999999
Music	edu packscholar #2	2000	9946.275833333335	5270.940000000001	5904.61	5721.960000000001
Music	amalgscholar #2	2000	8661.272500000001	3993.869999999999	4568.24	9659.200000000001
Shoes	exportiedu pack #2	2000	10478.14	5823.059999999999	4937.08	6060.960000000001
Shoes	exportiedu pack #2	2000	10478.14	5841.01	6060.960000000001	5542.140000000001
Women	edu packamalg #2	2000	10327.06416666667	5690.66	6150.690000000001	6836.119999999999
Shoes	importoedu pack #2	2000	9736.658333333335	5105.490000000001	5735.66	5219.989999999999
Children	edu packexporti #2	2000	9090.085000000001	4477.4	5419.110000000001	12137.32
Children	importoexporti #2	2000	10059.95833333333	5452.12	5717.919999999999	12261.14
Shoes	amalgedu pack #2	2000	8598.235833333334	4010.080000000001	4863.35	4161.27
Shoes	edu packedu pack #2	2000	8850.179166666667	4264.59	5823.389999999999	4928.24
Children	importoexporti #2	2000	9652.044166666667	5072.82	5727.87	5530.6
Women	exportiamalg #2	2000	8977.6425	4407.39	5318.889999999999	5620.34
Children	edu packexporti #2	2000	9224.275	4659.379999999999	6020.88	11547.41
Men	exportiimporto #2	2000	9128.372499999999	4591.68	5059.700000000001	13181.06
Men	importoimporto #2	2000	9887.399166666664	5364.09	6420.93	4746.55
Men	exportiimporto #2	2000	8965.219166666668	4448.099999999999	6822.439999999999	5532.719999999999
Shoes	importoedu pack #2	2000	9736.658333333335	5219.989999999999	5105.490000000001	4979.71
Children	edu packexporti #2	2000	8974.26	4468.67	4486.3	12190.66
Men	exportiimporto #2	2000	8965.219166666668	4470.750000000001	5532.719999999999	5434.159999999999
Music	edu packscholar #2	2000	9884.584999999997	5395.14	5197.629999999999	5208.700000000001
Children	exportiexporti #2	2000	8750.364166666666	4261.8	5873.93	5368.919999999999
Children	edu packexporti #2	2000	8974.26	4486.3	5880.629999999999	4468.67
Music	exportischolar #2	2000	9403.304999999998	4915.410000000001	6090.81	5177.58
Music	exportischolar #2	2000	9403.304999999998	4926.869999999999	5203.16	6090.81
Children	importoexporti #2	2000	9652.044166666667	5179.059999999999	5312.920000000001	13162.68
Shoes	amalgedu pack #2	2000	8598.235833333334	4125.690000000001	5453.35	5647.2
Music	amalgscholar #2	2000	8414.720000000001	3960.79	4862.98	4194.72
Shoes	importoedu pack #2	2000	9489.750000000002	5036.379999999999	6178.110000000001	6157.14
Women	exportiamalg #2	2000	9253.903333333335	4808.300000000001	5794.28	5087.809999999999
Shoes	edu packedu pack #2	2000	8905.652500000002	4466.539999999999	6104.75	5449.82
Shoes	amalgedu pack #2	2000	8598.235833333334	4161.27	4010.080000000001	11410.58
Women	amalgamalg #2	2000	9551.743333333336	5115.35	5451.450000000001	5928.369999999999
Shoes	exportiedu pack #2	2000	10478.14	6060.960000000001	5823.059999999999	5841.01
Children	amalgexporti #2	2000	8732.917500000001	4328.880000000001	5157.51	4844.830000000002
Women	exportiamalg #2	2000	8977.6425	4575.07	5966.92	5318.889999999999
Music	amalgscholar #2	2000	8419.205833333335	4017.64	5379.45	9730.139999999999
Women	amalgamalg #2	2000	9541.637499999999	5151.089999999999	6877.040000000001	4372.11
Children	amalgexporti #2	2000	9197.749166666666	4814.96	5810.59	6132.129999999999
Men	edu packimporto #2	2000	8318.590833333334	3936.639999999999	4757.66	4574
Shoes	importoedu pack #2	2000	9489.750000000002	5115.16	6347.059999999999	5203.3
Music	importoscholar #2	2000	9971.620000000001	5601.3	5749.62	5749.57
Music	amalgscholar #2	2000	8419.205833333335	4051.819999999999	5290.820000000002	5749.05
Women	importoamalg #2	2000	9600.310833333335	5246.52	6345.11	5441.58
Men	edu packimporto #2	2000	8516.183333333334	4163.77	4463.450000000001	4238.86
Children	importoexporti #2	2000	9795.273333333333	5443.360000000001	6506.98	4827.360000000001
Women	exportiamalg #2	2000	8594.7225	4245.68	4668.04	5582.67
Shoes	edu packedu pack #2	2000	8850.179166666667	4501.679999999999	5154.41	11654.57
Children	importoexporti #2	2000	10059.95833333333	5717.919999999999	6039.4	5452.12
Music	exportischolar #2	2000	9235.879166666668	4895.75	5396.889999999999	11127.89
Children	importoexporti #2	2000	9652.044166666667	5312.920000000001	5940.889999999999	5179.059999999999
Women	amalgamalg #2	2000	9299.865000000002	4964.6	6087.389999999999	6342.659999999999
Men	edu packimporto #2	2000	8318.590833333334	3986.929999999999	5230.419999999999	11263.72
Shoes	amalgedu pack #2	2000	9111.753333333334	4785.860000000001	5138.52	12639.9
Shoes	exportiedu pack #2	2000	9951.5275	5630.139999999999	6681.639999999999	6709.220000000001
Women	amalgamalg #2	2000	9541.637499999999	5235.04	5921.57	11678.56
Women	importoamalg #2	2000	9217.2575	4921.969999999999	5060.300000000001	6172.92
Shoes	importoedu pack #2	2000	9489.750000000002	5203.3	5115.16	6178.110000000001
Shoes	amalgedu pack #2	2000	9111.753333333334	4832.660000000001	5864.170000000002	5440.1
Women	importoamalg #2	2000	9972.558333333334	5694.610000000001	5222.930000000001	5137.5
Fetched 100 row(s) in 6.43s
